Time(s),Resistance (Mohm),LA Conc (mM),Electrode Distance (mm)
683,81.2,11.1,1
684,81.2,11.1,1
685,81.2,11.1,1
686,81.2,11.1,1
687,81.2,11.1,1
688,81.2,11.1,1
689,81.2,11.1,1
690,81.2,11.1,1
691,81.2,11.1,1
692,81.2,11.1,1
693,81.2,11.1,1
694,81.2,11.1,1
695,81.2,11.1,1
696,81.2,11.1,1
697,81.2,11.1,1
698,81.2,11.1,1
699,81.2,11.1,1
700,81.2,11.1,1
701,81.2,11.1,1
702,81.2,11.1,1
703,81.2,11.1,1
704,81.2,11.1,1
705,81.2,11.1,1
706,81.2,11.1,1
707,81.2,11.1,1
708,81.2,11.1,1
709,81.2,11.1,1
710,81.2,11.1,1
711,81.2,11.1,1
712,81.2,11.1,1
713,81.2,11.1,1
714,81.2,11.1,1
715,81.2,11.1,1
716,81.2,11.1,1
717,81.2,11.1,1
718,81.2,11.1,1
719,81.2,11.1,1
720,81.2,11.1,1
721,81.2,11.1,1
722,81.2,11.1,1
723,81.2,11.1,1
724,81.2,11.1,1
725,81.2,11.1,1
